Sanity: VQ-VAE latent should be [B, 64, 4, 4] -> (64, 64, 4, 4)
Sanity: VQ-VAE token map should be [B, 4, 4] -> (64, 4, 4)
{'epoch': 21, 'step': 0, 'loss': 0.01542879268527031, 'perplexity': 204.85166931152344, 'dead_codes': 2, 'recon_mse': 0.0024732020683586597, 'codebook_loss': 0.01036447286605835, 'commitment_loss': 0.01036447286605835, 'quantization_gap': 0.6633262634277344}
{'epoch': 21, 'step': 25, 'loss': 0.01912562921643257, 'perplexity': 199.698974609375, 'dead_codes': 0, 'recon_mse': 0.0029984102584421635, 'codebook_loss': 0.012901775538921356, 'commitment_loss': 0.012901775538921356, 'quantization_gap': 0.8257136344909668}
{'epoch': 21, 'step': 50, 'loss': 0.01760450378060341, 'perplexity': 188.79461669921875, 'dead_codes': 1, 'recon_mse': 0.0027590645477175713, 'codebook_loss': 0.01187635213136673, 'commitment_loss': 0.01187635213136673, 'quantization_gap': 0.7600865364074707}
{'epoch': 22, 'step': 0, 'loss': 0.01889193244278431, 'perplexity': 184.03924560546875, 'dead_codes': 1, 'recon_mse': 0.002957400633022189, 'codebook_loss': 0.012747625820338726, 'commitment_loss': 0.012747625820338726, 'quantization_gap': 0.8158479928970337}
{'epoch': 22, 'step': 25, 'loss': 0.016719793900847435, 'perplexity': 202.04623413085938, 'dead_codes': 0, 'recon_mse': 0.002735263668000698, 'codebook_loss': 0.01118762418627739, 'commitment_loss': 0.01118762418627739, 'quantization_gap': 0.7160079479217529}
{'epoch': 22, 'step': 50, 'loss': 0.01943138986825943, 'perplexity': 198.67349243164062, 'dead_codes': 0, 'recon_mse': 0.002967886161059141, 'codebook_loss': 0.013170803897082806, 'commitment_loss': 0.013170803897082806, 'quantization_gap': 0.8429315090179443}
{'epoch': 23, 'step': 0, 'loss': 0.019796494394540787, 'perplexity': 211.45245361328125, 'dead_codes': 5, 'recon_mse': 0.0029613221995532513, 'codebook_loss': 0.013468137942254543, 'commitment_loss': 0.013468137942254543, 'quantization_gap': 0.8619608879089355}
{'epoch': 23, 'step': 25, 'loss': 0.01873282715678215, 'perplexity': 195.38088989257812, 'dead_codes': 1, 'recon_mse': 0.0028800833970308304, 'codebook_loss': 0.012682195752859116, 'commitment_loss': 0.012682195752859116, 'quantization_gap': 0.8116605281829834}
{'epoch': 23, 'step': 50, 'loss': 0.019958389922976494, 'perplexity': 211.01390075683594, 'dead_codes': 3, 'recon_mse': 0.003223107662051916, 'codebook_loss': 0.013388225808739662, 'commitment_loss': 0.013388225808739662, 'quantization_gap': 0.8568465113639832}
{'epoch': 24, 'step': 0, 'loss': 0.01731586828827858, 'perplexity': 206.91741943359375, 'dead_codes': 1, 'recon_mse': 0.0025028930976986885, 'codebook_loss': 0.011850379407405853, 'commitment_loss': 0.011850379407405853, 'quantization_gap': 0.7584242820739746}
{'epoch': 24, 'step': 25, 'loss': 0.0164842177182436, 'perplexity': 208.25360107421875, 'dead_codes': 0, 'recon_mse': 0.0026301308535039425, 'codebook_loss': 0.011083269491791725, 'commitment_loss': 0.011083269491791725, 'quantization_gap': 0.7093292474746704}
{'epoch': 24, 'step': 50, 'loss': 0.01519334688782692, 'perplexity': 200.00477600097656, 'dead_codes': 0, 'recon_mse': 0.0026166848838329315, 'codebook_loss': 0.01006132923066616, 'commitment_loss': 0.01006132923066616, 'quantization_gap': 0.6439250707626343}
{'epoch': 25, 'step': 0, 'loss': 0.018351716920733452, 'perplexity': 206.59078979492188, 'dead_codes': 3, 'recon_mse': 0.003141254186630249, 'codebook_loss': 0.012168370187282562, 'commitment_loss': 0.012168370187282562, 'quantization_gap': 0.778775691986084}
{'epoch': 25, 'step': 25, 'loss': 0.013999941758811474, 'perplexity': 200.49588012695312, 'dead_codes': 0, 'recon_mse': 0.002413968089967966, 'codebook_loss': 0.009268779307603836, 'commitment_loss': 0.009268779307603836, 'quantization_gap': 0.5932018756866455}
{'epoch': 25, 'step': 50, 'loss': 0.016221068799495697, 'perplexity': 194.1331329345703, 'dead_codes': 0, 'recon_mse': 0.0023160555865615606, 'codebook_loss': 0.011124011129140854, 'commitment_loss': 0.011124011129140854, 'quantization_gap': 0.7119367718696594}
{'epoch': 26, 'step': 0, 'loss': 0.01686667464673519, 'perplexity': 223.9133758544922, 'dead_codes': 1, 'recon_mse': 0.002516206121072173, 'codebook_loss': 0.01148037426173687, 'commitment_loss': 0.01148037426173687, 'quantization_gap': 0.7347439527511597}
{'epoch': 26, 'step': 25, 'loss': 0.013627511449158192, 'perplexity': 214.65016174316406, 'dead_codes': 0, 'recon_mse': 0.0023327155504375696, 'codebook_loss': 0.009035836905241013, 'commitment_loss': 0.009035836905241013, 'quantization_gap': 0.5782935619354248}
{'epoch': 26, 'step': 50, 'loss': 0.01579855941236019, 'perplexity': 200.26597595214844, 'dead_codes': 0, 'recon_mse': 0.002591867931187153, 'codebook_loss': 0.010565352626144886, 'commitment_loss': 0.010565352626144886, 'quantization_gap': 0.6761825084686279}
{'epoch': 27, 'step': 0, 'loss': 0.015390424057841301, 'perplexity': 208.1964111328125, 'dead_codes': 5, 'recon_mse': 0.0023897734936326742, 'codebook_loss': 0.010400520637631416, 'commitment_loss': 0.010400520637631416, 'quantization_gap': 0.6656333208084106}
